Title,Author,Updated,Link,Tag,Search,ID
"Towards A Holistic Landscape of Situated Theory of Mind in Large
  Language Models",Joyce Chai,2023-10-30,http://arxiv.org/pdf/2310.19619v1,cs.CL,Large Language Model,2310.19619v1
"Roles of Scaling and Instruction Tuning in Language Perception: Model
  vs. Human Attention",Jiajun Chen,2023-10-29,http://arxiv.org/pdf/2310.19084v1,cs.CL,Large Language Model,2310.19084v1
"MindLLM: Pre-training Lightweight Large Language Model from Scratch,
  Evaluations and Domain Applications",Yang Gao,2023-10-29,http://arxiv.org/pdf/2310.15777v2,cs.CL,Large Language Model,2310.15777v2
"Exploiting Asymmetry for Synthetic Training Data Generation: SynthIE and
  the Case of Information Extraction",Robert West,2023-10-29,http://arxiv.org/pdf/2303.04132v2,cs.CL,Large Language Model,2303.04132v2
Language Models with Rationality,Peter Clark,2023-10-29,http://arxiv.org/pdf/2305.14250v2,cs.CL,Large Language Model,2305.14250v2
"Knowledge-Driven CoT: Exploring Faithful Reasoning in LLMs for
  Knowledge-intensive Question Answering",Zhang Xiong,2023-10-28,http://arxiv.org/pdf/2308.13259v2,cs.CL,Large Language Model,2308.13259v2
"N-Critics: Self-Refinement of Large Language Models with Ensemble of
  Critics",Soumyendu Sarkar,2023-10-28,http://arxiv.org/pdf/2310.18679v1,cs.CL,Large Language Model,2310.18679v1
"Language Models Meet World Models: Embodied Experiences Enhance Language
  Models",Zhiting Hu,2023-10-28,http://arxiv.org/pdf/2305.10626v3,cs.CL,Large Language Model,2305.10626v3
Probing LLMs for Joint Encoding of Linguistic Categories,Ekaterina Shutova,2023-10-28,http://arxiv.org/pdf/2310.18696v1,cs.CL,Large Language Model,2310.18696v1
"Instruction Mining: When Data Mining Meets Large Language Model
  Finetuning",Lichao Sun,2023-10-27,http://arxiv.org/pdf/2307.06290v2,cs.CL,Large Language Model,2307.06290v2
"Ask more, know better: Reinforce-Learned Prompt Questions for Decision
  Making with Large Language Models",Jun Wang,2023-10-27,http://arxiv.org/pdf/2310.18127v1,cs.LG,Large Language Model,2310.18127v1
Large language models for aspect-based sentiment analysis,Paavo Huoviala,2023-10-27,http://arxiv.org/pdf/2310.18025v1,cs.CL,Large Language Model,2310.18025v1
"Knowing What LLMs DO NOT Know: A Simple Yet Effective Self-Detection
  Method",Dawei Yin,2023-10-27,http://arxiv.org/pdf/2310.17918v1,cs.CL,Large Language Model,2310.17918v1
"Unleashing the potential of prompt engineering in Large Language Models:
  a comprehensive review",Shengxin Zhu,2023-10-27,http://arxiv.org/pdf/2310.14735v2,cs.CL,Large Language Model,2310.14735v2
"Can large language models replace humans in the systematic review
  process? Evaluating GPT-4's efficacy in screening and extracting data from
  peer-reviewed and grey literature in multiple languages",Kristin Hadfield,2023-10-27,http://arxiv.org/pdf/2310.17526v2,cs.CL,Large Language Model,2310.17526v2
"ASPIRO: Any-shot Structured Parsing-error-Induced ReprOmpting for
  Consistent Data-to-Text Generation",Yasutaka Fujimoto,2023-10-27,http://arxiv.org/pdf/2310.17877v1,cs.CL,Large Language Model,2310.17877v1
"ArcheType: A Novel Framework for Open-Source Column Type Annotation
  using Large Language Models",Juliana Freire,2023-10-27,http://arxiv.org/pdf/2310.18208v1,cs.CL,Large Language Model,2310.18208v1
Visual Programming for Text-to-Image Generation and Evaluation,Mohit Bansal,2023-10-27,http://arxiv.org/pdf/2305.15328v2,cs.CV,Large Language Model,2305.15328v2
The Expressive Power of Low-Rank Adaptation,Kangwook Lee,2023-10-27,http://arxiv.org/pdf/2310.17513v2,cs.LG,Large Language Model,2310.17513v2
Knowledge Corpus Error in Question Answering,James Thorne,2023-10-27,http://arxiv.org/pdf/2310.18076v1,cs.CL,Large Language Model,2310.18076v1
"Natural Language Interfaces for Tabular Data Querying and Visualization:
  A Survey",Haiqin Yang,2023-10-27,http://arxiv.org/pdf/2310.17894v1,cs.CL,Large Language Model,2310.17894v1
"T5 meets Tybalt: Author Attribution in Early Modern English Drama Using
  Large Language Models",David Mimno,2023-10-27,http://arxiv.org/pdf/2310.18454v1,cs.CL,Large Language Model,2310.18454v1
Can Large Language Models Capture Dissenting Human Voices?,James Thorne,2023-10-27,http://arxiv.org/pdf/2305.13788v2,cs.CL,Large Language Model,2305.13788v2
"FairMonitor: A Four-Stage Automatic Framework for Detecting Stereotypes
  and Biases in Large Language Models",Liang He,2023-10-27,http://arxiv.org/pdf/2308.10397v2,cs.CL,Large Language Model,2308.10397v2
"Visually-Situated Natural Language Understanding with Contrastive
  Reading Model and Frozen Large Language Models",Seunghyun Park,2023-10-26,http://arxiv.org/pdf/2305.15080v2,cs.CL,Large Language Model,2305.15080v2
"""You Are An Expert Linguistic Annotator"": Limits of LLMs as Analyzers of
  Abstract Meaning Representation",Yejin Choi,2023-10-26,http://arxiv.org/pdf/2310.17793v1,cs.CL,Large Language Model,2310.17793v1
SkyMath: Technical Report,Rui Hu,2023-10-26,http://arxiv.org/pdf/2310.16713v2,cs.CL,Large Language Model,2310.16713v2
Self-Evaluation Guided Beam Search for Reasoning,Qizhe Xie,2023-10-26,http://arxiv.org/pdf/2305.00633v3,cs.CL,Large Language Model,2305.00633v3
Symbolic Planning and Code Generation for Grounded Dialogue,Daniel Fried,2023-10-26,http://arxiv.org/pdf/2310.17140v1,cs.CL,Large Language Model,2310.17140v1
"Event knowledge in large language models: the gap between the impossible
  and the unlikely",Alessandro Lenci,2023-10-26,http://arxiv.org/pdf/2212.01488v4,cs.CL,Large Language Model,2212.01488v4
"ToxicChat: Unveiling Hidden Challenges of Toxicity Detection in
  Real-World User-AI Conversation",Jingbo Shang,2023-10-26,http://arxiv.org/pdf/2310.17389v1,cs.CL,Large Language Model,2310.17389v1
An Open Source Data Contamination Report for Llama Series Models,Yucheng Li,2023-10-26,http://arxiv.org/pdf/2310.17589v1,cs.CL,Large Language Model,2310.17589v1
"Salespeople vs SalesBot: Exploring the Role of Educational Value in
  Conversational Recommender Systems",Chien-Sheng Wu,2023-10-26,http://arxiv.org/pdf/2310.17749v1,cs.CL,Large Language Model,2310.17749v1
Large Language Models as Generalizable Policies for Embodied Tasks,Alexander Toshev,2023-10-26,http://arxiv.org/pdf/2310.17722v1,cs.LG,Large Language Model,2310.17722v1
A Causal View of Entity Bias in (Large) Language Models,Muhao Chen,2023-10-26,http://arxiv.org/pdf/2305.14695v2,cs.CL,Large Language Model,2305.14695v2
Beyond MLE: Convex Learning for Text Generation,Yang Feng,2023-10-26,http://arxiv.org/pdf/2310.17217v1,cs.CL,Large Language Model,2310.17217v1
On the Risk of Misinformation Pollution with Large Language Models,William Yang Wang,2023-10-26,http://arxiv.org/pdf/2305.13661v2,cs.CL,Large Language Model,2305.13661v2
Outlier Dimensions Encode Task-Specific Knowledge,Carsten Eickhoff,2023-10-26,http://arxiv.org/pdf/2310.17715v1,cs.CL,Large Language Model,2310.17715v1
Cultural Adaptation of Recipes,Daniel Hershcovich,2023-10-26,http://arxiv.org/pdf/2310.17353v1,cs.CL,Large Language Model,2310.17353v1
In-Context Learning Dynamics with Random Binary Sequences,Tomer D. Ullman,2023-10-26,http://arxiv.org/pdf/2310.17639v1,cs.AI,Large Language Model,2310.17639v1
"Incorporating Probing Signals into Multimodal Machine Translation via
  Visual Question-Answering Pairs",Jingbo Zhu,2023-10-26,http://arxiv.org/pdf/2310.17133v1,cs.CL,Large Language Model,2310.17133v1
JudgeLM: Fine-tuned Large Language Models are Scalable Judges,Xinlong Wang,2023-10-26,http://arxiv.org/pdf/2310.17631v1,cs.CL,Large Language Model,2310.17631v1
"Evaluation of large language models using an Indian language LGBTI+
  lexicon",Alpana Dange,2023-10-26,http://arxiv.org/pdf/2310.17787v1,cs.CL,Large Language Model,2310.17787v1
Dynosaur: A Dynamic Growth Paradigm for Instruction-Tuning Data Curation,Kai-Wei Chang,2023-10-26,http://arxiv.org/pdf/2305.14327v2,cs.CL,Large Language Model,2305.14327v2
"Improving Diversity of Demographic Representation in Large Language
  Models via Collective-Critiques and Self-Voting",Jilin Chen,2023-10-25,http://arxiv.org/pdf/2310.16523v1,cs.CL,Large Language Model,2310.16523v1
SuperHF: Supervised Iterative Learning from Human Feedback,Silas Alberti,2023-10-25,http://arxiv.org/pdf/2310.16763v1,cs.CL,Large Language Model,2310.16763v1
"Can Large Language Models Discern Evidence for Scientific Hypotheses?
  Case Studies in the Social Sciences",Sarah Rajtmajer,2023-10-25,http://arxiv.org/pdf/2309.06578v2,cs.CL,Large Language Model,2309.06578v2
"Attention Lens: A Tool for Mechanistically Interpreting the Attention
  Head Information Retrieval Mechanism",Ian Foster,2023-10-25,http://arxiv.org/pdf/2310.16270v1,cs.CL,Large Language Model,2310.16270v1
TaskDiff: A Similarity Metric for Task-Oriented Conversations,Vatche Isahagian,2023-10-25,http://arxiv.org/pdf/2310.15298v2,cs.CL,Large Language Model,2310.15298v2
OceanGPT: A Large Language Model for Ocean Science Tasks,Huajun Chen,2023-10-25,http://arxiv.org/pdf/2310.02031v4,cs.CL,Large Language Model,2310.02031v4
"WebWISE: Web Interface Control and Sequential Exploration with Large
  Language Models",Derek Hoiem,2023-10-25,http://arxiv.org/pdf/2310.16042v2,cs.CL,Large Language Model,2310.16042v2
"HI-TOM: A Benchmark for Evaluating Higher-Order Theory of Mind Reasoning
  in Large Language Models",Naihao Deng,2023-10-25,http://arxiv.org/pdf/2310.16755v1,cs.CL,Large Language Model,2310.16755v1
"Can GPT models Follow Human Summarization Guidelines? Evaluating ChatGPT
  and GPT-4 for Dialogue Summarization",François Portet,2023-10-25,http://arxiv.org/pdf/2310.16810v1,cs.CL,Large Language Model,2310.16810v1
"MathVista: Evaluating Math Reasoning in Visual Contexts with GPT-4V,
  Bard, and Other Large Multimodal Models",Jianfeng Gao,2023-10-25,http://arxiv.org/pdf/2310.02255v2,cs.CV,Large Language Model,2310.02255v2
WebArena: A Realistic Web Environment for Building Autonomous Agents,Graham Neubig,2023-10-25,http://arxiv.org/pdf/2307.13854v3,cs.AI,Large Language Model,2307.13854v3
"math-PVS: A Large Language Model Framework to Map Scientific
  Publications to PVS Theories",Tuhin Sahai,2023-10-25,http://arxiv.org/pdf/2310.17064v1,cs.AI,Large Language Model,2310.17064v1
API-Bank: A Comprehensive Benchmark for Tool-Augmented LLMs,Yongbin Li,2023-10-25,http://arxiv.org/pdf/2304.08244v2,cs.CL,Large Language Model,2304.08244v2
Can LLMs Capture Intertemporal Preferences?,Amandeep Singh,2023-10-25,http://arxiv.org/pdf/2305.02531v5,cs.CL,Large Language Model,2305.02531v5
"R$^3$ Prompting: Review, Rephrase and Resolve for Chain-of-Thought
  Reasoning in Large Language Models under Noisy Context",Yunshi Lan,2023-10-25,http://arxiv.org/pdf/2310.16535v1,cs.CL,Large Language Model,2310.16535v1
AgentBench: Evaluating LLMs as Agents,Jie Tang,2023-10-25,http://arxiv.org/pdf/2308.03688v2,cs.AI,Large Language Model,2308.03688v2
"A Communication Theory Perspective on Prompting Engineering Methods for
  Large Language Models",Qiang Yang,2023-10-24,http://arxiv.org/pdf/2310.18358v1,cs.CL,Large Language Model,2310.18358v1
"Instruct and Extract: Instruction Tuning for On-Demand Information
  Extraction",Jiawei Han,2023-10-24,http://arxiv.org/pdf/2310.16040v1,cs.CL,Large Language Model,2310.16040v1
"SteloCoder: a Decoder-Only LLM for Multi-Language to Python Code
  Translation",Sylvain Flamant,2023-10-24,http://arxiv.org/pdf/2310.15539v1,cs.CL,Large Language Model,2310.15539v1
"E-Sparse: Boosting the Large Language Model Inference through
  Entropy-based N:M Sparsity",Zhanhui Kang,2023-10-24,http://arxiv.org/pdf/2310.15929v1,cs.LG,Large Language Model,2310.15929v1
What Algorithms can Transformers Learn? A Study in Length Generalization,Preetum Nakkiran,2023-10-24,http://arxiv.org/pdf/2310.16028v1,cs.LG,Large Language Model,2310.16028v1
A Survey on Detection of LLMs-Generated Content,Wei Cheng,2023-10-24,http://arxiv.org/pdf/2310.15654v1,cs.CL,Large Language Model,2310.15654v1
"Don't Trust ChatGPT when Your Question is not in English: A Study of
  Multilingual Abilities and Types of LLMs",Grzegorz Kondrak,2023-10-24,http://arxiv.org/pdf/2305.16339v2,cs.CL,Large Language Model,2305.16339v2
ZzzGPT: An Interactive GPT Approach to Enhance Sleep Quality,Marwah Alaofi,2023-10-24,http://arxiv.org/pdf/2310.16242v1,cs.LG,Large Language Model,2310.16242v1
"Improving generalization in large language models by learning prefix
  subspaces",Laure Soulier,2023-10-24,http://arxiv.org/pdf/2310.15793v1,cs.LG,Large Language Model,2310.15793v1
"Locally Differentially Private Document Generation Using Zero Shot
  Prompting",Pin Yu Chen,2023-10-24,http://arxiv.org/pdf/2310.16111v1,cs.CL,Large Language Model,2310.16111v1
"KITAB: Evaluating LLMs on Constraint Satisfaction for Information
  Retrieval",Besmira Nushi,2023-10-24,http://arxiv.org/pdf/2310.15511v1,cs.LG,Large Language Model,2310.15511v1
RADAR: Robust AI-Text Detection via Adversarial Learning,Tsung-Yi Ho,2023-10-24,http://arxiv.org/pdf/2307.03838v2,cs.CL,Large Language Model,2307.03838v2
"Preserving Knowledge Invariance: Rethinking Robustness Evaluation of
  Open Information Extraction",Bin Xu,2023-10-24,http://arxiv.org/pdf/2305.13981v2,cs.CL,Large Language Model,2305.13981v2
Dissecting In-Context Learning of Translations in GPTs,Arul Menezes,2023-10-24,http://arxiv.org/pdf/2310.15987v1,cs.CL,Large Language Model,2310.15987v1
Ask Language Model to Clean Your Noisy Translation Data,Christof Monz,2023-10-24,http://arxiv.org/pdf/2310.13469v3,cs.CL,Large Language Model,2310.13469v3
Batch Prompting: Efficient Inference with Large Language Model APIs,Tao Yu,2023-10-24,http://arxiv.org/pdf/2301.08721v2,cs.CL,Large Language Model,2301.08721v2
What's Left? Concept Grounding with Logic-Enhanced Foundation Models,Jiajun Wu,2023-10-24,http://arxiv.org/pdf/2310.16035v1,cs.CV,Large Language Model,2310.16035v1
"Avalon's Game of Thoughts: Battle Against Deception through Recursive
  Contemplation",Gao Huang,2023-10-24,http://arxiv.org/pdf/2310.01320v3,cs.AI,Large Language Model,2310.01320v3
Improving Summarization with Human Edits,Sai P. Selvaraj,2023-10-24,http://arxiv.org/pdf/2310.05857v2,cs.CL,Large Language Model,2310.05857v2
"InstructAlign: High-and-Low Resource Language Alignment via Continual
  Crosslingual Instruction Tuning",Pascale Fung,2023-10-24,http://arxiv.org/pdf/2305.13627v2,cs.CL,Large Language Model,2305.13627v2
"LLM Self Defense: By Self Examination, LLMs Know They Are Being Tricked",Duen Horng Chau,2023-10-24,http://arxiv.org/pdf/2308.07308v3,cs.CL,Large Language Model,2308.07308v3
Document-Level Machine Translation with Large Language Models,Zhaopeng Tu,2023-10-24,http://arxiv.org/pdf/2304.02210v2,cs.CL,Large Language Model,2304.02210v2
"AI Alignment and Social Choice: Fundamental Limitations and Policy
  Implications",Abhilash Mishra,2023-10-24,http://arxiv.org/pdf/2310.16048v1,cs.AI,Large Language Model,2310.16048v1
"Woodpecker: Hallucination Correction for Multimodal Large Language
  Models",Enhong Chen,2023-10-24,http://arxiv.org/pdf/2310.16045v1,cs.CV,Large Language Model,2310.16045v1
AnglE-optimized Text Embeddings,Jing Li,2023-10-24,http://arxiv.org/pdf/2309.12871v5,cs.CL,Large Language Model,2309.12871v5
Zero-Shot Cross-Lingual Summarization via Large Language Models,Jie Zhou,2023-10-24,http://arxiv.org/pdf/2302.14229v4,cs.CL,Large Language Model,2302.14229v4
"Generating Prototypes for Contradiction Detection Using Large Language
  Models and Linguistic Rules",Rafet Sifa,2023-10-23,http://arxiv.org/pdf/2310.14732v1,cs.CL,Large Language Model,2310.14732v1
"Prompting is not a substitute for probability measurements in large
  language models",Roger Levy,2023-10-23,http://arxiv.org/pdf/2305.13264v2,cs.CL,Large Language Model,2305.13264v2
Automatic Model Selection with Large Language Models for Reasoning,Michael Qizhe Xie,2023-10-23,http://arxiv.org/pdf/2305.14333v2,cs.CL,Large Language Model,2305.14333v2
"Are Personalized Stochastic Parrots More Dangerous? Evaluating Persona
  Biases in Dialogue Systems",Kai-Wei Chang,2023-10-23,http://arxiv.org/pdf/2310.05280v4,cs.CL,Large Language Model,2310.05280v4
LoftQ: LoRA-Fine-Tuning-Aware Quantization for Large Language Models,Tuo Zhao,2023-10-23,http://arxiv.org/pdf/2310.08659v3,cs.CL,Large Language Model,2310.08659v3
"DialCoT Meets PPO: Decomposing and Exploring Reasoning Paths in Smaller
  Language Models",Baoyuan Wang,2023-10-23,http://arxiv.org/pdf/2310.05074v3,cs.CL,Large Language Model,2310.05074v3
